schemaname,tablename,policyname,permissive,roles,command,using_expression,with_check
public,approval_settings,company_approval_settings_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,approval_settings,company_approval_settings_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,approval_settings,company_approval_settings_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,approval_settings,company_approval_settings_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,audit_logs,company_audit_logs_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,audit_logs,company_audit_logs_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,audit_logs,company_audit_logs_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,audit_logs,company_audit_logs_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,change_order_items,company_change_order_items_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,change_order_items,company_change_order_items_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,change_order_items,company_change_order_items_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,change_order_items,company_change_order_items_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,change_orders,company_change_orders_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,change_orders,company_change_orders_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,change_orders,company_change_orders_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,change_orders,company_change_orders_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,companies,anon_view_companies_for_quotes,PERMISSIVE,{anon},SELECT,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.company_id = companies.id) AND (work_orders.status = 'sent'::work_order_status_enum))))",null
public,companies,companies_delete_admin,PERMISSIVE,{public},DELETE,is_super_admin(),null
public,companies,companies_insert_admin,PERMISSIVE,{public},INSERT,null,is_super_admin()
public,companies,companies_select_own,PERMISSIVE,{public},SELECT,(id = user_company_id()),null
public,companies,companies_update_own,PERMISSIVE,{public},UPDATE,(id = user_company_id()),(id = user_company_id())
public,company_settings,company_company_settings_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,company_settings,company_company_settings_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,company_settings,company_company_settings_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,company_settings,company_company_settings_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,company_tags,company_company_tags_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,company_tags,company_company_tags_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,company_tags,company_company_tags_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,company_tags,company_company_tags_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,customer_addresses,company_customer_addresses_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,customer_addresses,company_customer_addresses_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,customer_addresses,company_customer_addresses_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,customer_addresses,company_customer_addresses_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,customer_communications,Users can create company communications,PERMISSIVE,{public},INSERT,null,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))"
public,customer_communications,Users can delete own communications,PERMISSIVE,{public},DELETE,(created_by = auth.uid()),null
public,customer_communications,Users can update own communications,PERMISSIVE,{public},UPDATE,(created_by = auth.uid()),null
public,customer_communications,Users can view company communications,PERMISSIVE,{public},SELECT,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,customer_equipment,company_customer_equipment_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,customer_equipment,company_customer_equipment_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,customer_equipment,company_customer_equipment_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,customer_equipment,company_customer_equipment_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,customer_feedback,company_customer_feedback_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,customer_feedback,company_customer_feedback_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,customer_feedback,company_customer_feedback_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,customer_feedback,company_customer_feedback_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,customer_tags,company_customer_tags_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,customer_tags,company_customer_tags_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,customer_tags,company_customer_tags_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,customer_tags,company_customer_tags_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,customers,anon_view_customers_for_quotes,PERMISSIVE,{anon},SELECT,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.customer_id = customers.id) AND (work_orders.status = ANY (ARRAY['sent'::work_order_status_enum, 'approved'::work_order_status_enum, 'rejected'::work_order_status_enum])))))",null
public,customers,company_customers_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,customers,company_customers_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,customers,company_customers_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,customers,company_customers_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,document_templates,company_document_templates_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,document_templates,company_document_templates_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,document_templates,company_document_templates_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,document_templates,company_document_templates_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,documents,documents-company-access,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM employees e
  WHERE ((e.user_id = auth.uid()) AND (e.company_id = documents.company_id))))","(EXISTS ( SELECT 1
   FROM employees e
  WHERE ((e.user_id = auth.uid()) AND (e.company_id = documents.company_id))))"
public,employee_delegates,company_employee_delegates_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,employee_delegates,company_employee_delegates_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,employee_delegates,company_employee_delegates_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,employee_delegates,company_employee_delegates_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,employee_time_off,Employees can update their own pending requests,PERMISSIVE,{public},UPDATE,"((status = 'PENDING'::time_off_status_enum) AND (employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.user_id = auth.uid()))))",null
public,employee_time_off,Owners and admins can update time off,PERMISSIVE,{public},UPDATE,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE ((users.id = auth.uid()) AND (users.role = ANY (ARRAY['owner'::user_role_enum, 'admin'::user_role_enum, 'manager'::user_role_enum])))))",null
public,employee_time_off,Users can create time off requests,PERMISSIVE,{public},INSERT,null,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))"
public,employee_time_off,Users can delete their own pending requests,PERMISSIVE,{public},DELETE,"((status = 'PENDING'::time_off_status_enum) AND (employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.user_id = auth.uid()))))",null
public,employee_time_off,Users can view time off for their company,PERMISSIVE,{public},SELECT,"(company_id IN ( SELECT users.company_id
   FROM users
  WHERE (users.id = auth.uid())))",null
public,employee_time_off,company_employee_time_off_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,employee_time_off,company_employee_time_off_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,employee_time_off,company_employee_time_off_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,employee_time_off,company_employee_time_off_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,employee_timesheets,company_employee_timesheets_delete,PERMISSIVE,{public},DELETE,"(employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.company_id = user_company_id())))",null
public,employee_timesheets,company_employee_timesheets_insert,PERMISSIVE,{public},INSERT,null,"(employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.company_id = user_company_id())))"
public,employee_timesheets,company_employee_timesheets_select,PERMISSIVE,{public},SELECT,"(employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.company_id = user_company_id())))",null
public,employee_timesheets,company_employee_timesheets_update,PERMISSIVE,{public},UPDATE,"(employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.company_id = user_company_id())))","(employee_id IN ( SELECT employees.id
   FROM employees
  WHERE (employees.company_id = user_company_id())))"
public,employees,anon_view_employees_for_scheduling,PERMISSIVE,{anon},SELECT,true,null
public,employees,company_employees_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,employees,company_employees_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,employees,company_employees_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,employees,company_employees_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,expense_approvals,expense-approvals-company-access,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM (expenses x
     JOIN employees e ON (((e.company_id = x.company_id) AND (e.user_id = auth.uid()))))
  WHERE (x.id = expense_approvals.expense_id)))","(EXISTS ( SELECT 1
   FROM (expenses x
     JOIN employees e ON (((e.company_id = x.company_id) AND (e.user_id = auth.uid()))))
  WHERE (x.id = expense_approvals.expense_id)))"
public,expense_categories,company_expense_categories_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,expense_categories,company_expense_categories_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,expense_categories,company_expense_categories_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,expense_categories,company_expense_categories_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,expenses,company_expenses_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,expenses,company_expenses_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,expenses,company_expenses_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,expenses,company_expenses_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,integration_tokens,company_integration_tokens_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,integration_tokens,company_integration_tokens_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,integration_tokens,company_integration_tokens_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,integration_tokens,company_integration_tokens_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,inventory_items,company_inventory_items_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,inventory_items,company_inventory_items_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,inventory_items,company_inventory_items_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,inventory_items,company_inventory_items_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,inventory_locations,company_inventory_locations_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,inventory_locations,company_inventory_locations_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,inventory_locations,company_inventory_locations_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,inventory_locations,company_inventory_locations_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,inventory_movements,company_inventory_movements_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,inventory_movements,company_inventory_movements_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,inventory_movements,company_inventory_movements_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,inventory_movements,company_inventory_movements_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,inventory_stock,company_inventory_stock_delete,PERMISSIVE,{public},DELETE,"(item_id IN ( SELECT inventory_items.id
   FROM inventory_items
  WHERE (inventory_items.company_id = user_company_id())))",null
public,inventory_stock,company_inventory_stock_insert,PERMISSIVE,{public},INSERT,null,"(item_id IN ( SELECT inventory_items.id
   FROM inventory_items
  WHERE (inventory_items.company_id = user_company_id())))"
public,inventory_stock,company_inventory_stock_select,PERMISSIVE,{public},SELECT,"(item_id IN ( SELECT inventory_items.id
   FROM inventory_items
  WHERE (inventory_items.company_id = user_company_id())))",null
public,inventory_stock,company_inventory_stock_update,PERMISSIVE,{public},UPDATE,"(item_id IN ( SELECT inventory_items.id
   FROM inventory_items
  WHERE (inventory_items.company_id = user_company_id())))","(item_id IN ( SELECT inventory_items.id
   FROM inventory_items
  WHERE (inventory_items.company_id = user_company_id())))"
public,invoice_deliveries,company_invoice_deliveries_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,invoice_deliveries,company_invoice_deliveries_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,invoice_deliveries,company_invoice_deliveries_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,invoice_deliveries,company_invoice_deliveries_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,invoice_progress_ledger,company_invoice_progress_ledger_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,invoice_progress_ledger,company_invoice_progress_ledger_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,invoice_progress_ledger,company_invoice_progress_ledger_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,invoice_progress_ledger,company_invoice_progress_ledger_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,invoices,company_invoices_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,invoices,company_invoices_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,invoices,company_invoices_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,invoices,company_invoices_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,job_completion_checklist,company_job_completion_checklist_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,job_completion_checklist,company_job_completion_checklist_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,job_completion_checklist,company_job_completion_checklist_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,job_completion_checklist,company_job_completion_checklist_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,marketplace_requests,company_marketplace_requests_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,marketplace_requests,company_marketplace_requests_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,marketplace_requests,company_marketplace_requests_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,marketplace_requests,company_marketplace_requests_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,marketplace_settings,company_marketplace_settings_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,marketplace_settings,company_marketplace_settings_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,marketplace_settings,company_marketplace_settings_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,marketplace_settings,company_marketplace_settings_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,messages,company_messages_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,messages,company_messages_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,messages,company_messages_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,messages,company_messages_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,notifications,company_notifications_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,notifications,company_notifications_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,notifications,company_notifications_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,notifications,company_notifications_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,onboarding_progress,company_onboarding_progress_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,onboarding_progress,company_onboarding_progress_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,onboarding_progress,company_onboarding_progress_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,onboarding_progress,company_onboarding_progress_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,payment_deliveries,company_payment_deliveries_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,payment_deliveries,company_payment_deliveries_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,payment_deliveries,company_payment_deliveries_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,payment_deliveries,company_payment_deliveries_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,payment_settings,company_payment_settings_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,payment_settings,company_payment_settings_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,payment_settings,company_payment_settings_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
